mode,claim_id,scenario,missing_doc_recall,missing_doc_precision,escalation_recall,timeline_recall,similar_claim_relevance,evidence_citation_rate,json_validity
chatgpt_only,ABB/VL/00043,abbvl_pt_information_request,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,ABB/VL/00043,abbvl_pt_information_request,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,ABB/VL/00043,abbvl_pt_information_request,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,ABB/VL/00044,abbvl_pt_total_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,ABB/VL/00044,abbvl_pt_total_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,ABB/VL/00044,abbvl_pt_total_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,ABB/VL/00048,abbvl_pt_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,ABB/VL/00048,abbvl_pt_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,ABB/VL/00048,abbvl_pt_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,ABB/VL/00112,gesy_endorsement_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,ABB/VL/00112,gesy_endorsement_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,ABB/VL/00112,gesy_endorsement_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-001,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-001,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-001,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-002,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-002,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-002,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-003,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-003,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-003,control_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-004,liability_reserved_no_witness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-004,liability_reserved_no_witness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-004,liability_reserved_no_witness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-011,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-011,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-011,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-015,missing_tp_details,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-015,missing_tp_details,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-015,missing_tp_details,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-017,headline_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-017,headline_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-017,headline_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-019,control_under_authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-019,control_under_authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-019,control_under_authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-021,complaint_escalation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-021,complaint_escalation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-021,complaint_escalation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-023,bi_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-023,bi_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-023,bi_potential,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-025,fraud_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-025,fraud_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-025,fraud_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-027,tp_chase_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-027,tp_chase_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-027,tp_chase_loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-029,settlement_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-029,settlement_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-029,settlement_authority_breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-031,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-031,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-031,repairer_recurrence_quickfix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt_only,CY-MTR-033,slow_broker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manual_rag,CY-MTR-033,slow_broker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mailgraph,CY-MTR-033,slow_broker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
