productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
HOME,claims,CR0001,CR0001 Reporting Period Start,cr0001,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0002,CR0002 Reporting Period End,cr0002,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0005,CR0005 UMR,umr,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0006,CR0006 Agreement Number,agreement,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0007,CR0007 Section Number,section,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
HOME,claims,CR0013,CR0013 Coverholder Name,cr0013,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0014,CR0014 Coverholder PIN,cr0014,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0029,CR0029 Certificate Reference,certificate,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0030,CR0030 Risk Inception Date,riskInception,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0031,CR0031 Risk Expiry Date,riskExpiry,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0104,CR0104 Claim Reference,claimRef,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0105,CR0105 Claim Status,claimStatus,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0106,CR0106 Referred to Underwriters,referred,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0107,CR0107 Denial,denial,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0109,CR0109 Original Currency,currency,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0116,CR0116 Loss Country,lossCountry,mandatory,always,,,,,false,,,,requiredness:mandatory;severity:;applicability:always,,
HOME,claims,CR0117,CR0117 Cause of Loss Code,causeCode,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
HOME,claims,CR0118,CR0118 Loss Description,lossDesc,optional,always,,,,,false,,,,requiredness:optional;severity:;applicability:always,,
