productType,stream,crCode,lloydsTitle,internalKey,requiredness,applicability,sourceEntity,sourceField,sourcePath,sourceKind,authoritativeSource,derivationRule,fallbackRule,sourceReliability,validationRules,exampleValue,notes
MOTOR,premium,CR0001,CR0001 Reporting Period Start Date,cr0001,mandatory,always,reportingPeriod,startDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0002,CR0002 Reporting Period End Date,cr0002,mandatory,always,reportingPeriod,endDate,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0005,CR0005 UMR,cr0005,mandatory,always,binder,umr,,typed_column,false,,policy.umr -> policy.policyNumber,high,requiredness:mandatory;severity:error;applicability:always,policy.umr -> policy.policyNumber,
MOTOR,premium,CR0006,CR0006 Agreement Number,cr0006,mandatory,always,binder,agreementNumber,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0010,CR0010 Year of Account,cr0010,mandatory,always,binder,config.reporting.yearOfAccount,$.reporting.yearOfAccount,computed,false,,policy.inceptionDate.year,high,requiredness:mandatory;severity:error;applicability:always,policy.inceptionDate.year,
MOTOR,premium,CR0013,CR0013 Coverholder Name,cr0013,mandatory,always,binder,coverholderName,,typed_column,true,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0014,CR0014 Coverholder PIN,cr0014,mandatory,always,binder,coverholderPin,,typed_column,true,,,medium,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0016,CR0016 Risk Code,cr0016,mandatory,always,binder,config.reporting.riskCode,$.reporting.riskCode,json_snapshot,false,,AUTO_MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,AUTO_MOTOR,
MOTOR,premium,CR0017,CR0017 Class of Business,cr0017,mandatory,always,binder,config.reporting.classOfBusiness,$.reporting.classOfBusiness,json_snapshot,false,,MOTOR,medium,requiredness:mandatory;severity:error;applicability:always,MOTOR,
MOTOR,premium,CR0019,CR0019 Type of Insurance,cr0019,mandatory,always,product,insuranceType,,constant,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0020,CR0020 Original Currency,cr0020,mandatory,always,premiumTransaction,currency,,typed_column,false,,quoteResponse.currency -> binder.defaultCurrency -> EUR,high,requiredness:mandatory;severity:error;applicability:always,quoteResponse.currency -> binder.defaultCurrency -> EUR,
MOTOR,premium,CR0021,CR0021 Total Gross Written Premium,cr0021,mandatory,always,riskTransaction,pricingFinal.premium,,derived_projection,false,riskTransaction.pricingFinal premium after transaction,premium gross movement (CR0059),high,requiredness:mandatory;severity:error;applicability:always,premium gross movement (CR0059),"Whole-risk written premium snapshot after the transaction movement, not just the row delta."
MOTOR,premium,CR0022,CR0022 Risk Transaction Type,cr0022,mandatory,always,riskTransaction,transactionType,,typed_column,false,,maps INCEPTION/ENDORSEMENT/CANCELLATION -> NB/PAM/CAN,high,requiredness:mandatory;severity:error;applicability:always,maps INCEPTION/ENDORSEMENT/CANCELLATION -> NB/PAM/CAN,
MOTOR,premium,CR0026,CR0026 Policy or Group Reference,cr0026,mandatory,always,policy,policyNumber,,typed_column,false,,,high,requiredness:mandatory;severity:error;applicability:always,,
MOTOR,premium,CR0029,CR0029 Certificate Reference,cr0029,mandatory,always,policy,certificateNumber,,typed_column,false,,policy.certificateReference,high,requiredness:mandatory;severity:error;applicability:always,policy.certificateReference,Premium movements reuse policy certificate reference unless a dedicated endorsed schedule reference is introduced.
MOTOR,premium,CR0030,CR0030 Risk Inception Date,cr0030,conditional,risk_not_submitted_separately,policy,inceptionDate,,typed_column,false,,,high,requiredness:conditional;severity:warning;applicability:risk_not_submitted_separately,,
